f,代码块描述,是否可以生产pb,函数调用名称1,调用名称,单位,单位消耗,类别,是否是默认代码块,类型 ,代码块权限,关联数据结构,提示图标,模板,可隐藏结构,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,参数11,参数12,参数13,参数14,参数15,参数16,参数17,参数18,参数19,参数20,参数21,参数22,参数23,参数24,参数25,模板2,代码块排序,是否能在公共区域使用
id,codeblockDesc,null,funcCallName,actionName,unit,price,category,default,type,permission,struct,promptIcon,template1,hiddenStr,args1,args2,args3,args4,args5,args6,args7,args8,args9,args10,args11,args12,args13,args14,args15,args16,args17,args18,args19,args20,args21,args22,args23,args24,args25,template2,sort,publicUseful
int,string,null,string,string,string,int,string,bool,string,int,int,string,string,string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string[][],string,int,bool
10001,机器人--移动位置到XY,是,,MoveXY,米,,move,,block,,,,移动到坐标%%{1} ,,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,500,1
10002,朝右移动N米,是,,MoveRight,米,,move,,block,,,,朝%%{1}移动 %%{2} 米,,"dropdown;1;上,下,左,右","input;1;距离,10,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,100,1
10006,移动到建筑XX身边,是,,MoveToObject,米,,move,,block,,,,移动到建筑 %%{1} 身边,,"dropdown;2;5,18;800",,,,,,,,,,,,,,,,,,,,,,,,,,600,1
10008,使用建筑 %% 制作 %% 个 %%,是,,UseBuildingNearby,米,,function,,block,,,,使用建筑 %%{1} 制作 %%{2}  %%{3} 个,,prop;EntityBuildObject;3,blank;10020;3,"input;1;个数,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,1
10009,结束显示当前文本,,,,,,function,1,block,2,function,,结束显示当前文本,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10010,显示文本,,,,,,function,1,block,2,,,显示文本 %%{1}，效果 %%{2},,input;2;请输入文本;300;;1,"dropdown;1;普通,云彩,呐喊",,,,,,,,,,,,,,,,,,,,,,,,,100,1
10011,显示文本持续N秒,,,,,,function,1,block,2,,,显示文本 %%{1} ，持续 %%{2} 秒，效果 %%{3},,input;2;请输入文本;300;;1,"input;1;秒,1,-99999999,99999999","dropdown;1;普通,云彩,呐喊",,,,,,,,,,,,,,,,,,,,,,,,200,1
10012,文本变量,是,,,个,,operator,1,value,,,,%%{1},,input;2;请输入文本;1000,,,,,,,,,,,,,,,,,,,,,,,,,,200,1
10013,范围N米内存在,是,IsGameObjectExistedInRange,,米,,detect,,boolean,,,,周围 %%{1} 米，存在 %%{2},,"input;1;距离,1,0,20;100",blank;10020;3,,,,,,,,,,,,,,,,,,,,,,,,,,1
10014,检测碰到的实体,是,IsMeetGameObject,,次,,detect,,boolean,,,,碰到的实体是 %%{1},,blank;10020,,,,,,,,,,,,,,,,,,,,,,,,,,,1
