代码块合集id,备注,可被放置的代码块1,可被放置的代码块2,可被放置的代码块3,可被放置的代码块4,可被放置的代码块5,可被放置的代码块6,可被放置的代码块7,可被放置的代码块8,可被放置的代码块9,可被放置的代码块10,可被放置的代码块11,可被放置的代码块12,可被放置的代码块13,可被放置的代码块14,可被放置的代码块15,可被放置的代码块16,可被放置的代码块17,可被放置的代码块18,可被放置的代码块19,可被放置的代码块20,可被放置的代码块21,可被放置的代码块22,可被放置的代码块23,可被放置的代码块24,可被放置的代码块25,可被放置的代码块26,可被放置的代码块27,可被放置的代码块28,可被放置的代码块29,可被放置的代码块30,可被放置的代码块31,可被放置的代码块32,可被放置的代码块33,可被放置的代码块34,可被放置的代码块35,可被放置的代码块36,可被放置的代码块37,可被放置的代码块38,可被放置的代码块39,可被放置的代码块40,可被放置的代码块41,可被放置的代码块42,可被放置的代码块43,可被放置的代码块44,可被放置的代码块45,可被放置的代码块46,可被放置的代码块47,可被放置的代码块48,可被放置的代码块49,可被放置的代码块50
id,null,codeblockID1,codeblockID2,codeblockID3,codeblockID4,codeblockID5,codeblockID6,codeblockID7,codeblockID8,codeblockID9,codeblockID10,codeblockID11,codeblockID12,codeblockID13,codeblockID14,codeblockID15,codeblockID16,codeblockID17,codeblockID18,codeblockID19,codeblockID20,codeblockID21,codeblockID22,codeblockID23,codeblockID24,codeblockID25,codeblockID26,codeblockID27,codeblockID28,codeblockID29,codeblockID30,codeblockID31,codeblockID32,codeblockID33,codeblockID34,codeblockID35,codeblockID36,codeblockID37,codeblockID38,codeblockID39,codeblockID40,codeblockID41,codeblockID42,codeblockID43,codeblockID44,codeblockID45,codeblockID46,codeblockID47,codeblockID48,codeblockID49,codeblockID50
int,,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
100,数值代码块合集,10018,10019,10040,10047,10048,10049,10050,10051,10052,10060,10062,10065,10012,10138,10139,10063,10168,10174,10175,10176,10189,10211,10163,10200,10226,10604,10704,10705,10709,10719,10724,40013,10605,910002,,,,,,,,,,,,,,,,
300,椭圆形代码块合集,10020,10021,10022,10024,10018,10019,10040,10047,10048,10049,10050,10051,10052,10060,10062,10065,10012,10095,10125,10126,10141,10142,10138,10139,10063,10168,10174,10175,10176,10189,10211,10244,10245,10248,10163,10601,10200,10226,10604,10704,10705,10709,10719,10724,10727,40004,10605,910002,,
400,不能放置任何代码块,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,坐标代码块集合,10127,10128,10129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,实体+类代码块集合,10125,10126,10020,10021,10022,10024,10095,10141,10142,10065,10063,10168,10174,10175,10176,10244,10245,10248,10163,10601,10604,10727,40004,10605,910002,,,,,,,,,,,,,,,,,,,,,,,,,
700,类代码块集合,10020,10021,10022,10024,10065,10063,10168,10174,10175,10176,10244,10245,10248,10163,10601,10604,10716,10727,910002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,实体代码块集合,10125,10126,10095,10141,10142,10065,10063,10168,10174,10175,10176,10163,10604,10605,910002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,问题,10147,10065,10063,10163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,运算判定专用（100+600）,10018,10019,10040,10047,10048,10049,10050,10051,10052,10060,10062,10065,10012,10138,10139,10063,10168,10174,10175,10176,10189,10211,10125,10126,10020,10021,10022,10024,10095,10141,10142,10244,10245,10248,10163,10601,10200,10226,10604,10704,10705,10709,10716,10719,10724,10727,40004,40013,10605,910002
1100,自定义面板,10239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,关卡组件,10703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,对话,10718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,气泡,11006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,生物类代码块,10727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,时间线,12010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,视频,10731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,弹出内容,10718,10703,10731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,声音,13003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,多人选择题,40011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
