资源ID,资源名称,资源来源类型,资源来源id,素材库标签,资源描述,素材标签,预览图1,预览图2
id,name,sourceType,sourceId,resourceGroupTag,desc,resourceTag,preview1,preview2
int,string,int,int,int,string,string[],string,string
10001,排行榜,1,30009001,1,创建一个展示当前课程所有角色的排行榜,排行,,https://jimmy-math.wkcoding.com/paihangbang.png
10002,显示器,1,30009002,2,可以播放视频，可以插入选择题,视频,,https://jimmy-math.wkcoding.com/xianshiqi2.gif
10003,测试答题器,1,30009003,3,提供一系列测试题，适用于课程小结、随堂测试。,"测试,答题",,https://jimmy-math.wkcoding.com/ceshiti2.gif
10004,黑板,1,30009004,1,可以打开一个UI黑板，绘制内容,"黑板,画图",,https://jimmy-math.wkcoding.com/heiban.png
10005,1号流程点,1,30009005,1,设置当前场景的1号流程点,"指引,引导,流程,点",,
10006,2号流程点,1,30009006,1,设置当前场景的2号流程点,"指引,引导,流程,点",,
10007,3号流程点,1,30009007,1,设置当前场景的3号流程点,"指引,引导,流程,点",,
10008,4号流程点,1,30009008,1,设置当前场景的4号流程点,"指引,引导,流程,点",,
10010,场景电视中,1,30009016,2,沉浸式显示器，在属性界面配置内容,"视频,网页,显示",,
10011,场景电视小,1,30009017,2,沉浸式显示器，在属性界面配置内容,"视频,网页,显示",,
10012,鲸幂电视中,1,30009018,2,鲸幂关卡沉浸式显示器，有专用代码块,"鲸幂,显示,关卡",,
10013,鲸幂电视小,1,30009019,2,鲸幂关卡沉浸式显示器，有专用代码块,"鲸幂,显示,关卡",,
10014,关卡电视中,1,30009020,2,puzzle关卡沉浸式显示器，有专用代码块,"puzzle,显示,关卡",,
10015,关卡电视小,1,30009021,2,puzzle关卡沉浸式显示器，有专用代码块,"puzzle,显示,关卡",,
10016,场景电视中,1,30009022,2,沉浸式显示器，在属性界面配置内容,"视频,网页,显示",,
10017,场景电视小,1,30009023,2,沉浸式显示器，在属性界面配置内容,"视频,网页,显示",,
10018,鲸幂电视中,1,30009024,2,鲸幂关卡沉浸式显示器，有专用代码块,"鲸幂,显示,关卡",,
10019,鲸幂电视小,1,30009025,2,鲸幂关卡沉浸式显示器，有专用代码块,"鲸幂,显示,关卡",,
10020,关卡电视中,1,30009026,2,puzzle关卡沉浸式显示器，有专用代码块,"puzzle,显示,关卡",,
10021,关卡电视小,1,30009027,2,puzzle关卡沉浸式显示器，有专用代码块,"puzzle,显示,关卡",,
