物件ID1,物件名称1,素材分组,"类型
专门用于前置物件判定
还有代码块类型筛选判断","建筑背包分类
（素材库的分类）",素材标签,Entity的Icon,Entity的描述,纹理1,补充纹理,动画名字,物件逻辑投影,建造高度,属性控件,代码库,行走矮边高,行走高边高,物件高边 ,通行方向,是否是地块,idle效果,场景效果根锚点,,光效,光效锚点偏移,掉落,素材库展示类型,正视角素材库ICON,正视角地图纹理,正视角地图建造高度,正视角地图行走矮边高,正视角地图行走高边高,正视角地图效果根锚点,正视角地图光效锚点偏移,"资源类型
1：2D贴图（默认）
2：2D动画
3：3D模型","资源路径
- 不用后缀
- 相对各自文件夹目录",朝向相机,"是否水平放置
- 比如地板
- 对3D无效"
id,name,subjectGroup,type,objectBagType,entityTag,icon,desc,texture,supplyTexture,animeName,area,buildHigh,attWidget,codeBlockId,walkLow,walkHigh,highEdge,walkDir,isTerrain,idleEffect,sceneEffectAnchor,,lightEffect,lightOffset ,dropId,objectBagShowType,rectIcon,rectTexture,rectBuildHigh,rectWalkLow,rectWalkHigh,rectSceneEffectAnchor,rectLightOffset,assetType,asset,lookCamera,isHorizontal
int,string,int,int,int,string[],string,string,string[],string,string,int[][],int,int,int,int,int,int,int[][],bool,int,int,,string[],int[],int,int[],string,string[],int,int,int,int,int[],int,string,bool,bool
8000022,草原地块1,8000022,7,,,zxcell_cy1_DK,草原地块1,zxcell_cy1_DK,,,15,75,10001,1002,75,75,0,15,1,,,,,,,"1,2",Z_zxcell_cy1_DK,Z_zxcell_cy1_DK,75,75,75,,,,,1,
8000023,草原地块2,8000022,7,,,zxcell_cy2_DK,草原地块2,zxcell_cy2_DK,,,15,75,10001,1002,75,75,0,15,1,,,,,,,"1,2",Z_tyDK_1_1_03,Z_tyDK_1_1_03,75,75,75,,,,,1,
8000024,草原地块3,8000022,7,,,zxcell_cy3_DK,草原地块3,zxcell_cy3_DK,,,15,75,10001,1002,75,75,0,15,1,,,,,,,"1,2",Z_tyDK_1_1_04,Z_tyDK_1_1_04,75,75,75,,,,,1,
8000025,草原地块4,8000022,7,,,zxcell_cy4_DK,草原地块4,zxcell_cy4_DK,,,15,75,10001,1002,75,75,0,15,1,,,,,,,"1,2",Z_tyDK_1_1_05,Z_tyDK_1_1_05,75,75,75,,,,,1,
8000007,原木立方块,,5,1,木,zxob_ymlft_LFK,原木立方块,zxob_ymlft_LFK,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,Z_zxtdz_1_1_10,,,,,,,,,1,
8100001,玻璃方块,,5,1,玻璃,zxob_boli_01,玻璃方块,zxob_boli_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100002,草方块1,8100002,5,1,草,zxob_cao_01,草方块1,zxob_cao_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100003,草方块2,8100002,5,1,草,zxob_cao_02,草方块2,zxob_cao_02,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100004,草方块3,8100002,5,1,草,zxob_cao_03,草方块3,zxob_cao_03,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100005,草方块4,8100002,5,1,草,zxob_cao_04,草方块4,zxob_cao_04,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
