物件ID,物件名称1,备注,Material的Icon,Materia的描述,"类型
5.建筑物品
7.地表/地块
8.资源（地图上刷出来的资源）
10.地板
11.墙面 
     1.普通墙面（自动建造会围绕着地板）
     2.栅栏（自动建造不围绕着地板）
     3.门（门后方不可建造其他物品）
12.窗户",子类型,"前置物件
0，可以放置在任意类型的前置物件上",物件逻辑投影,通行方向（阻挡）,纹理1,补充纹理,血量,死亡掉落配方ID,"技能作用类型
 0.未知类型
 2.木头
 3.草
 4.石头
 5.建筑
     8.宝箱",受击特效,受击音效,物件防御,掉落经验,物件等级,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,是否遮挡,身体大小(半径像素),不显示在代码块下拉中,阵营,"种出来资源的寿命
（种植专用，非种植无需配置）单位秒",代码界面中物品排序ID,idle效果,死亡效果
id,name,null,icon,desc,type,subType,preArticleType,area,walkDir,texture,supplyTexture,hpLimit,fallingRecipeId,toolType,hitEffect,hitMusic,objectDef,dropExp,null,terrainType,SlowMotion,sceneEffectAnchor,lightRadius,isCover,bodyCapacity,NoShowCode,camp,life,sort,idleEffect,deathEffect
int,string,null,string,string,int,int,int[],int[][],int[][],string[],string,int,int,int,string,string,int,int,null,int,int,int,int,bool,int,bool,int,int,int,int,int
3086007,火山花,#N/A,yanjiangobv1007,还没有填描述,5,,0,15,15,yanjiangobv1007,0,1,10063,3,frame_mining,grassHited,0,0,0,0,0,,0,,0,1,1,,,,
3087011,藤条,#N/A,zhaozeobv1011,还没有填描述,8,,0,15,0,zhaozeobv1011,0,1,10064,3,frame_mining,grassHited,0,0,0,0,0,,0,1,0,1,1,,,,
3091001,青草,10186,caoyuanmt1001,泛指禾本科草本植物；常为莎草科和灯芯草科单子叶植物。主要掉落：纤维,8,,0,15,15,"caoyuanmt1001,caoyuanmt1002,caoyuanmt1003,caoyuanmt1013",0,1,10002,3,frame_caoFeiYe,grassHited,0,0,0,0,1,,0,0,0,1,1,,,2,1002
3091006,蓝色蘑菇,10191,caoyuanmt1006,一种蓝色的蘑菇,8,,0,15,15,"caoyuanmt1006,caoyuanmt1007",0,1,10061,3,frame_collect,grassHited,0,0,0,0,0,,0,1,0,,1,,,,
3091101,椰子树,#N/A,shatanmt1001,椰子为热带喜光作物，在高温、多雨、阳光充足和海风吹拂的条件下生长发育良好。会掉落原木和椰子,8,,0,15,0,"shatanmt1001,shatanmt1002",0,255,10034,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
3092001,小沙棕,#N/A,shamomt1001,还没有填描述,8,,0,15,0,shamomt1001,0,1,10035,3,frame_collect,grassHited,0,0,0,0,0,,0,1,0,1,1,,,,
3092004,大沙棕,10199,shamomt1004,还没有填描述,8,,0,15,0,shamomt1004,0,255,10036,2,frame_collect,grassHited,0,0,0,0,0,,0,1,0,,1,,,,
3092005,枯黄草,10198,shamomt1005,由于缺少水分，所以叶子呈枯黄状态,8,,0,15,15,shamomt1002,0,1,10005,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,1,1,,,,1002
