物件ID,物件名称,Varia的Icon,Varia的描述,"类型
5.建筑物品
7.地块
8.资源（地图上刷出来的资源）
10.地板
11.墙面 
     1.普通墙面（自动建造会围绕着地板）
     2.栅栏（自动建造不围绕着地板）
     3.门（门后方不可建造其他物品）
12.窗户
17.地表（特指用于装饰地块的物件）",子类型,纹理1,补充纹理,行走矮边高,行走高边高,物件高边 ,物件逻辑投影,通行方向,物件形状,"是否多格物件（特指不切图装饰物）
1为多格物件
0不为多格物件","物件上是否可建造
0不能建造
1可以建造但不会被覆盖
2插旗时被删除",建造高度,"建造类型
1.储物类(ArchStorage)
2.制造类(ArchProduction)
3.提示类(ArchPrompt)
4.时间类(ArchProduction)
5.状态类(ArchStateSend)","制造id
对应自己制造类型表中的id",接受状态ids,功能扩展,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,遮挡是否产生半透,不显示在代码块下拉中,idle效果,死亡效果
id,name,icon,desc,type,subType,texture,supplyTexture,walkLow,walkHigh,highEdge,area,walkDir,shape,isMultiPicture,buildAble,buildHigh,archType,archId,stateAcceptIds,extension,terrainType,SlowMotion,sceneEffectAnchor,lightRadius,isCover,NoShowCode,idleEffect,deathEffect
int,string,string,string,int,int,string[],string,int,int,int,int[][],int[][],int[],bool,int,int,int,int,int[],int,int,int,int,int,bool,bool,int,int
4010001,硬木地板,icob_floor_1001101_ever,Varia表的描述没配置,10,,icob_floor_1001101_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,1,1,,,7,,,,0,1,,
4010002,雪海松地板,icob_floor_1001102,Varia表的描述没配置,10,,icob_floor_1001102,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,0,1,,
4010003,普通木地板,icob_floor_1001103,Varia表的描述没配置,10,,icob_floor_1001103,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,0,1,,
4010004,橡木地板,icob_floor_1001104,Varia表的描述没配置,10,,icob_floor_1001104,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,0,1,,
4010005,云杉木地板,icob_floor_1001105,Varia表的描述没配置,10,,icob_floor_1001105,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,0,1,,
4010006,白桦木地板,icob_floor_1001106,Varia表的描述没配置,10,,icob_floor_1001106,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,0,1,,
4010007,枫木地板,icob_floor_1001107,Varia表的描述没配置,10,,icob_floor_1001107,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,0,1,,
4010008,石头地板,icob_floor_1001108,Varia表的描述没配置,10,,icob_floor_1001108,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,0,1,,
4010009,大理岩地板,icob_floor_1001109,Varia表的描述没配置,10,,icob_floor_1001109,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,0,1,,
4010010,花岗岩地板,icob_floor_1001110,Varia表的描述没配置,10,,icob_floor_1001110,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,0,1,,
4010011,安山岩地板,icob_floor_1001111,Varia表的描述没配置,10,,icob_floor_1001111,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,0,1,,
4020001,实木墙,icob_wall_1002101,Varia表的描述没配置,11,1,icob_wall_1002101,icob_wall_1002101_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020002,板材墙,icob_wall_1002102,Varia表的描述没配置,11,1,icob_wall_1002102,icob_wall_1002101_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020003,雪海松墙,icob_wall_mao_cao_qiang,Varia表的描述没配置,11,1,icob_wall_mao_cao_qiang,icob_wall_mao_cao_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020004,普通木墙,icob_wall_pu_tong_mu_qiang,Varia表的描述没配置,11,1,icob_wall_pu_tong_mu_qiang,icob_wall_pu_tong_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020005,橡木墙,icob_wall_xiang_mu_qiang,Varia表的描述没配置,11,1,icob_wall_xiang_mu_qiang,icob_wall_xiang_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020006,云杉木墙,icob_wall_yun_shan_mu_qiang,Varia表的描述没配置,11,1,icob_wall_yun_shan_mu_qiang,icob_wall_yun_shan_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020007,白桦木墙,icob_wall_bai_hua_mu_qiang,Varia表的描述没配置,11,1,icob_wall_bai_hua_mu_qiang,icob_wall_bai_hua_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020008,枫木墙,icob_wall2_1002108,Varia表的描述没配置,11,1,icob_wall2_1002108,icob_wall2_1002108_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
