索引1,值,字符串值,数组值1,数组字符串,备注1(模块),备注2
id,value,strValue,valueArray,strValueArray,note1,note2
int,int,string,int[],string[],string,string
1001001,2,,,,基础模块,大世界建造副本最大数量
1001002,50,,,,基础模块,查看模式查看的范围（格子）
1001003,10,,,,基础模块,可允许通行高度差（像素）
1001004,4,,,,基础模块,建造面板允许的最大行数
1001005,800,,,,基础模块,离开中心超过x格子显示箭头（离开中心超过x格子后，将会出现距离箭头）
1001006,8000,,,,基础模块,离开中心超过x格子隐藏箭头（离开中心超过x格子后，将会隐藏掉箭头）
1001007,180,,,,基础模块,玩家战斗自动锁定敌人的距离
1001008,180,,,,基础模块,主角取消锁定敌人的范围修正值（要加上技能的攻击距离）
1001009,15,,,,基础模块,自动关闭npc窗口主角与npc的距离（格子）
1001011,10,,,,基础模块,建造取消选中像素偏移距离
1001012,100,,,,基础模块,现实中1单位时间等于多少单位的游戏时间
1001013,10000,,,,基础模块,掉落物在大地图上的尺寸缩小的比例（万分比）
1001014,10,,,,基础模块,机器人背包格子上限
1001015,200,,,,基础模块,玩家背包格子上限
1001016,50,,,,基础模块,玩家初始背包格子
1001017,10,,,,基础模块,玩家召唤的怪物类型的实体的上限
1001018,10,,,,基础模块,玩家快捷栏格子数量
1001019,100,,,,基础模块,玩家领地克隆数量上限
1001020,40,,,,基础模块,1米等于多少像素
1001021,100,,,,基础模块,课程制作领地最大可调整范围（半径）
1001022,1000,,,,基础模块,公共领地生物上限
1001023,600,,,,基础模块,大世界中，鼠标操作模式下，长按删除的时间
1001024,12,,,,基础模块,角色寻路最大半径（格子）
1001025,3,,,,基础模块,角色寻路最大节点数
1001026,24,,,,基础模块,角色寻路最大距离（格子）
1002001,150,,,,默认跑的速度（像素）【废弃了】,
1002003,1003028,,,,传送点的文件名字,
1002004,,"[[""全部""],[""装饰"",[2]],[""建筑"",[5]],[""道具"",[1,2,3]],[""杂物"",[4]],[""其他"",[4,8]]]",,,配方类型列表,
1002005,,"[[""全部""],[""装备"",[2]],[""道具"",[1,3,4]],[""杂物"",[8]],[""建筑"",[5,6]]]",,,背包分类列表,
1002006,,1,,,每秒消耗多少个单位,
1002007,,300,,,原地无操作X秒，则自动下线（单位秒）,
1002008,100005,btn_main_fist,,,空手攻击的技能ID和空手攻击的主界面图标名字,
1002009,50000,,,,超过X毫秒没有回包就开始转菊花,
1002010,40,,,,x个像素=1米，单位为像素,
1002011,,,"10015,10018,10021,10023,10029,10031,10034",,角色默认avatar,
1003001,60000,,,,掉落物消失时间（毫秒）,
1003002,60000,,,,掉落物归属消失时间（毫秒）,
1003003,,img_diaoluo_12,,,其他玩家死亡掉落包裹icon,
1003004,,img_diaoluo_13,,,主角死亡掉落包裹icon,
1003005,2000,,,,死亡掉落物品概率（100/10000）万分比,
1003100,,"{""color"":""0x00ff00"",""alpha"":1,""thickness"":2}",,,领地搬家（插旗）允许颜色值,
1003101,,"{""color"":""0xff0000"",""alpha"":1,""thickness"":2}",,,领地搬家（插旗）不允许颜色值,
1003102,,"{""color"":""0xfbfe00"",""alpha"":0.3,""thickness"":2}",,,领地区域标记线颜色，透明度，粗细,
1003103,180000,,,,X分钟内死亡标记存在的时间，单位毫秒,
1003104,10000,,,,传送的CD时间。单位毫秒,
1003105,10,,,,摇杆偏离中心点移动像素值,
1003106,250,,,,主角锁定中立（黄圈）范围单位像素,
1003107,250,,,,主角取消锁定 ，中立（黄圈）范围单位像素,
1003108,15000,,,,怪物出场音效播放CD,
1003109,1,,,,代码块界面是否主动弹出help弹版 1是 0否,
1003110,2105044,,,,家园传送点ID,物品ID
1003111,0,,,,传送消耗的物品ID，0代表不需要传送道具,物品ID
1004001,2000,,,,怪物,怪物追击距离R
1004002,500,,,,怪物,击打怪物闪白时间 毫秒
1004004,10000,,,,怪物,怪物血条消失时间（毫秒）
1005001,4000,,,,受击气泡存在时间,
1005002,120030,,,,地图高度 像素,
1005003,180060,,,,地图宽度 像素,
1005004,1,,,,跑马灯循环次数,
1005005,10,,,,半透像素值,
1005006,8000,,,,跑马灯一次时间单位毫秒,
1006001,90,,,,掉落,手动拾取掉落的距离 像素
1006002,50000,,,,掉落,自动拾取掉落的距离 像素
1006003,1000,,,,掉落,物件的自动拾取判断时间 毫秒，吸附
1006004,1000,,,,掉落,自动拾取初始的延迟时间，毫秒
1007001,32400,,,,环境和天气系统,白天开始的时间（秒）
1007002,64800,,,,环境和天气系统,黄昏开始的时间（秒）
1007003,75600,,,,环境和天气系统,黑夜开始的时间（秒）
1007004,21600,,,,环境和天气系统,黎明开始的时间（秒）
1007005,30,,,,邮件存储时间，单位天,
1007006,0,,,,角色排泄物的drop ID,
1007007,600000,,,,排泄物的CD。单位毫秒,
1007008,-10,,,,环境和天气系统,【黑夜】影响的温度的变化量
1007009,-5,,,,环境和天气系统,【黎明】影响的温度的变化量
1007010,0,,,,环境和天气系统,【白天】影响的温度的变化量
1007011,-5,,,,环境和天气系统,【黄昏】影响的温度的变化量
1007013,8,,,,初始机器人代码模板数量,
1007014,86400000,,,,悬赏任务刷新时间,每天上午7点更换，24小时刷新。
1007015,300000,,,,死亡掉落生命期 毫秒,死亡掉落读取的是这个周期
1007016,300000,,,,死亡掉落保护时间 毫秒,死亡掉落读取的是这个周期
1007018,60000,,,,死亡后自动复活的时间 毫秒,
1007022,9000000,,,,没有处在运行状态中多久后，会下线,
1007033,,,"20,28,0,0",,环境和天气系统,适宜的温度区间（温度下限，温度上限，饥饿度变化值，饥渴度变化值）
1007034,,,"10,19,-1,0",,环境和天气系统,寒冷的温度区间一（温度下限，温度上限，饥饿度变化值，饥渴度变化值）
1007035,,,"0,9,-2,0",,环境和天气系统,寒冷的温度区间二（温度下限，温度上限，饥饿度变化值，饥渴度变化值）
1007036,,,"-999,-1,-3,0",,环境和天气系统,寒冷的温度区间三（温度下限，温度上限，饥饿度变化值，饥渴度变化值）
1007037,,,"29,34,-1,0",,环境和天气系统,炎热的温度区间一（温度下限，温度上限，饥饿度变化值，饥渴度变化值）
