id,购买次数,购买消耗,备注
id,times,cost_id,remark
int,int,int,null
1,1,2100,
2,2,2101,
3,3,2102,
4,4,2103,
5,5,2104,
6,6,2105,
7,7,2106,
8,8,2107,
9,9,2108,
10,10,2109,
11,11,2110,
12,12,2111,
13,13,2112,
14,14,2113,
15,15,2114,
16,16,2115,
17,17,2116,
18,18,2117,
19,19,2118,
20,20,2119,
21,21,2120,
22,22,2121,
23,23,2122,
24,24,2123,
25,25,2124,
26,26,2125,
27,27,2126,
28,28,2127,
29,29,2128,
30,30,2129,
31,31,2130,
32,32,2131,
33,33,2132,
34,34,2133,
35,35,2134,
36,36,2135,
37,37,2136,
38,38,2137,
39,39,2138,
40,40,2139,
41,41,2140,
42,42,2141,
43,43,2142,
44,44,2143,
45,45,2144,
46,46,2145,
47,47,2146,
48,48,2147,
49,49,2148,
50,50,2149,
51,300,2150,
