id,µÈ¼¶,Éý¼¶¾­Ñé,ËÀÍö³Í·£¾­Ñé,ÑªÁ¿,ÉúÃü»Ö¸´,ÆÕÍ¨¹¥»÷,¹¥»÷ËÙ¶È,·ÀÓù,±©»÷,±©»÷ÉËº¦,ÃüÖÐ,ÉÁ±Ü,ÒÆ¶¯ËÙ¶È
id,lv,exp,deathExpLoss,hp,hpRecovery,att,attSpd,def,critRate,critDmg,hitPoint,missPoint,moveSpeed
int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,45,0,200,0,50,0,30,50,500,100,100,550
2,2,80,0,210,0,52,0,33,50,500,103,103,550
3,3,135,0,220,0,54,0,36,50,500,106,106,550
4,4,240,0,230,0,56,0,39,50,500,109,109,550
5,5,425,0,240,0,58,0,42,50,500,112,112,550
6,6,720,0,250,0,60,0,45,50,500,115,115,550
7,7,1155,0,260,0,62,0,48,50,500,118,118,550
8,8,1760,0,270,0,64,0,51,50,500,121,121,550
9,9,2565,0,280,0,66,0,54,50,500,124,124,550
10,10,3600,0,290,0,68,0,57,50,500,127,127,550
11,11,4895,245,300,0,70,0,60,50,500,130,130,550
12,12,6480,324,310,0,72,0,63,50,500,133,133,550
13,13,8385,420,320,0,74,0,66,50,500,136,136,550
14,14,10640,532,330,0,76,0,69,50,500,139,139,550
15,15,13275,664,340,0,78,0,72,50,500,142,142,550
16,16,16320,816,350,0,80,0,75,50,500,145,145,550
17,17,19805,991,360,0,82,0,78,50,500,148,148,550
18,18,23760,1188,370,0,84,0,81,50,500,151,151,550
19,19,28215,1411,380,0,86,0,84,50,500,154,154,550
20,20,33200,1660,390,0,88,0,87,50,500,157,157,550
21,21,38745,1938,400,0,90,0,90,50,500,160,160,550
22,22,44880,2244,410,0,92,0,93,50,500,163,163,550
23,23,51635,2582,420,0,94,0,96,50,500,166,166,550
24,24,59040,2952,430,0,96,0,99,50,500,169,169,550
25,25,67125,3357,440,0,98,0,102,50,500,172,172,550
26,26,75920,3796,450,0,100,0,105,50,500,175,175,550
27,27,85455,4273,460,0,102,0,108,50,500,178,178,550
28,28,95760,4788,470,0,104,0,111,50,500,181,181,550
