coolingTime-int,dailyUpper-int,defaultTemp-int,id-int,noOperationTime-int,playerTalkMan-string[],playerTalkWomen-string[],scene-string,sceneCell-string,sceneMusic-string[],sceneSpecialEffect-int,weatherEndRate-int,weatherMusic-string,weatherStartRate-int,weatherType-int,otherName-string,remark-string
5000,3,14,100002,30000,"好冷啊。,寒风不可动我心。","冷死本宝宝了。,只有这里的冰清才配得上我的玉洁。",冰火群岛北部（冰）,10001BhqdbbB,"outPlace,icesnow,night",2,2000,snow,500,2,,
5000,3,37,100003,30000,"好热啊。,热浪不可断我念。","热死本宝宝了。,只有这里的烈焰才配得上我的红唇。",冰火群岛南部(火),10003BhqdnbH,night,4,2000,fire,1000,4,,
4500,3,26,100004,30000,"果然是一片世外桃源。,风景不错，在这建一座家是不错的。","哇，这里好美啊！我要在这里建家。,就只有一些小怪呢，不用怕挂掉了。",世外平原,10001Sypy,,1,2000,rain,1000,1,世外桃源,
5000,3,26,100005,5000,"开始感受到寒风了，再往北应该就是人面冰原了。,开始变冷了，哈哈。","好冷哦，该多穿点衣服的。,北边就是那个可怕的人面冰原了吧。",世外平原北,10004SypyB,,1,2000,rain,1000,1,,
5000,3,14,100006,30000,这里藏着巨大的怪物吗?,好像有呜呜的怪叫声啊，好可怕。,人面冰原北,10005RmbyB,,2,2000,snow,500,2,,
5000,3,14,100007,30000,寒冷是这里的主旋律，苦难是人生的主旋律。感受寒冷，享受苦难。,这个地方可真冷，我可不打算住下来。,人面冰原,10006RmbyXN,,2,2000,snow,500,2,,（寒风呼啸）
5000,3,14,100008,30000,再往南走的话应该就可以暖和起来了。,我要赶快离开这个地方，不然可要冻坏我可爱的小脸蛋了。,人面冰原西南,10005RmbyXN,,2,2000,snow,500,2,,
5000,3,14,100009,30000,一个雪人的部落，看起来蛮有意思的。,雪人部落欸，要是有可爱的小雪人就好了。,冰原雪人部落,10007Byxrbl,,2,2000,snow,500,2,,
5000,3,14,100010,30000,这里再往南走些肯定能达到温暖的区域了吧。,好像要暖和起来了的样子。,人面冰原南,10008RmbyN,,2,2000,snow,500,2,,
5000,3,37,100011,30000,听说是一座没有名字的火山，我看不如就叫{var0=playername}火山吧。,这地方热得我香汗淋漓啊。,无名火山,10009Wmhs,,4,2000,fire,1000,4,,
5000,3,26,100012,30000,这一望无际的平原，真是很棒啊。,嗯，还好不是西北风。哈哈。,北风平原,10010Bfpy,,1,2000,rain,1000,1,,
5000,3,26,100013,30000,这就是北风沙滩的西部吗？感觉好像都差不多呢。,希望这里的螃蟹对我 友善点。,北风沙滩西,10011BfstX,,1,2000,rain,1000,1,,
5000,3,26,100014,30000,浪花多多开。,让我来个太阳浴吧。,北风沙滩南,10012BfstN,,1,2000,rain,1000,1,,
5000,3,26,100015,30000,这没名字的山脉可真大，还分东南西北呢。,这样爬山怕是最轻松的了。,无名山脉西,10013WmsmX,,1,2000,rain,1000,1,,
5000,3,26,100016,30000,啊，这里的山路十八弯哦。,山上的怪物听好了，都给我好好躲着。别叫我抓到。哈哈哈。,无名山脉南,10014WmsmN,,1,2000,rain,1000,1,,
5000,3,26,100017,30000,像是一个遗迹呢，让我查探一番。,欸欸欸，镜头外面那个，带我跑到这里干嘛，废墟有啥好看的，一点都不浪漫。,无名废墟,10015Wmfx,,1,2000,rain,1000,1,,
5000,3,26,100018,30000,嗯，没名字的地方都改成我的名字吧。{var0=playername}山脉；可以的，没毛病！,无名山上有个无名观，无名观里有个无名道长，无名道长现在在和你讲故事，(●'◡'●)。,无名山脉,10016Wmsm,,1,2000,rain,1000,1,,
5000,3,26,100019,30000,我看这策划就是偷懒。随便起个名字糊弄我们。,宝宝是路痴，别那么多东南西北的。分不清咧。,无名山脉北,10017WmsmB,,1,2000,rain,1000,1,,
5000,3,26,100020,30000,我可不想像个傻子样呆在山上，快把我弄走。,咚咚咚！你去哪里啦？这里很危险的，别把宝宝留在这里。,无名山脉东,10018WmsmD,,1,2000,rain,1000,1,,
5000,3,26,100021,30000,55555，啊鬼哭森林有鬼在哭呀！,这里好可怕的，我们走吧。,鬼哭森林,10019Gksl,,1,2000,rain,1000,1,,
5000,3,37,100022,30000,热死啦，听说对面就是一大片冰岛啦。快走快走。,阿克是谁？说呀！哼，不理你了。,阿克火山,10020Akhs,,4,2000,fire,1000,4,,
5000,3,14,100023,30000,名副其实的地方。不错不错。,不知道有没有萌萌的北极熊呢？,离火冰岛,10021Lhbd,,2,2000,snow,500,2,,
5000,3,26,100024,30000,淤泥怪的走开，不要让我看到你。,召唤出我亲爱的小机器人来探索吧，我可不想一身泥巴。,双生沼泽北,10022ShzzBzz,,5,2000,miasm,1000,5,,
5000,3,26,100025,30000,小心那些泥潭，我可不想成为沼泽里的一具无名尸骨。,快走啦。我可不想呆在这。直接派机器人来不好吗？,双生沼泽南,10023ShzzNzz,,5,2000,miasm,1000,5,,
5000,3,26,100026,30000,不知道会不有有麦浪湖水怪。,好平静的湖面啊，就像此刻的我。,麦浪湖,10024Mlh,,1,2000,rain,1000,1,,
5000,3,26,100027,30000,别呆着啦，快采麦子吧。,好想在麦浪里打个滚哦。,麦浪平原,10025Mlpy,,1,2000,rain,1000,1,,(麦浪滚滚的平原)
5000,3,26,100028,30000,听说这山脉环绕了整个沙漠呢。,走累了，就歇会。,环形山脉,10026Hxsm,,1,2000,rain,1000,1,,
5000,3,30,100029,30000,漫天黄沙随风起，孤身一人终不移。,啊，大沙漠呀，我要骆驼宝宝哟。,浮沉沙漠,10027Fcsm,,3,2000,wind,1000,3,,
