flyAvatar-string,flyDistance-int,flySpeed-int,flyTime-int,flyerType-int,id-int
Skill_Arrow,2000,3000,0,1,1
Projectile_ball,2000,1000,0,5,2
CaptureRope,2000,2000,0,2,3
Resource_ball,2000,1500,0,3,4
Projectile_ball_Dark,2000,1000,0,5,5
Skill_Arrow_big,2000,3000,0,1,7
Skill_Bee_flyer,2000,800,0,1,8
Skill_Bomb_flyer,1500,1500,0,5,9
Skill_Stun_flyer,1500,1500,0,5,10
Skill_Moderate_flyer,1500,1500,0,5,11
Skill_Burning_flyer,1500,1500,0,5,12
Skill_Laser,2000,5000,0,4,13
Skill_EmptyFlyer,3000,1000,0,5,14
