节点id,专精类型,节点模式,isTrunk,"解锁所需的技能树等级
非主干技能配置都为0",节点层级,节点等级上限,技能id关联,节点升级经验,前置节点,后置技能,节点列号,turnPoint(pixel),name,desc,icon
nodeId,type,mode,isTrunk,requireSkillTreeLv,layer,lvLimit,skillId,upgradeEXP,preNode,postNode,col,turnPoint,name,desc,icon
int,int,int,bool,int,int,int,int[],int[],int[],int[],int,int[],string,string,string
100000,2,0,1,0,0,1,201001,101,0,"100001,100021,100022,100023,100024",0,,Skill0,Desc0,
100001,2,0,1,2,1,1,201002,102,100000,"100002,100025,100026",0,,Skill1,Desc1,
100002,2,0,1,4,2,1,201003,103,100001,100003,0,,Skill2,Desc2,
100003,2,0,1,6,3,1,100006,104,100002,100004,0,,Skill3,Desc3,
100004,2,0,1,8,4,1,100008,105,100003,100005,0,,Skill4,Desc4,
100005,2,0,0,0,0,3,"201004,201005,201006","100,200,300",0,100006,-1,,Skill5,Desc5,
100006,2,0,0,0,1,2,"201004,201005","100,200",0,100007,1,,Skill6,Desc6,
100007,2,0,0,0,2,2,"201004,201005","100,200",100006,100008,1,,Skill7,Desc7,
100008,2,0,0,0,3,2,"201004,201005","100,200",100007,100009,1,,Skill8,Desc8,
100009,2,0,0,0,4,2,"201004,201005","100,200",100008,100010,1,,Skill9,Desc9,
100010,2,0,0,0,4,2,"201004,201005","100,200",100005,100011,-1,,Skill10,Desc10,
100011,1,0,1,0,0,1,201007,201,0,100012,0,,Skill11,Desc11,
100012,1,0,1,2,1,1,201008,202,100011,100013,0,,Skill12,Desc12,
100013,1,0,0,0,0,2,"300005,300006","100,200",0,100014,1,,Skill13,Desc13,
100014,1,0,0,0,1,2,"300005,300006","100,200",100013,100015,1,,Skill14,Desc14,
