costMELD-int,expReward-int[][],id-int,itemReward-int,level-int,progressReset-int,system-int,taskPool-int[][],type-int
0,"1,100",10101,1,1,1,1,"17,100;18,100",1
0,"1,100",10102,2,2,1,1,"17,100;18,100",1
0,"1,100",10103,3,3,1,1,"17,100;18,100",1
0,"1,100",10104,4,4,1,1,"17,100;18,100",1
0,"1,100",10105,5,5,1,1,"17,100;18,100",1
0,"1,100",10106,5,6,1,1,"17,100;18,100",1
0,"1,100",10107,5,7,1,1,"17,100;18,100",1
0,"1,100",10108,5,8,1,1,"17,100;18,100",1
0,"1,100",10109,5,9,1,1,"17,100;18,100",1
0,"2,100",10204,4,4,1,1,"17,100;18,100",2
0,"2,100",10205,5,5,1,1,"17,100;18,100",2
0,"2,100",10206,5,6,1,1,"17,100;18,100",2
0,"2,100",10207,5,7,1,1,"17,100;18,100",2
0,"2,100",10208,5,8,1,1,"17,100;18,100",2
0,"2,100",10209,5,9,1,1,"17,100;18,100",2
0,"3,100",10301,1,1,1,1,"17,100;18,100",3
0,"3,100",10302,2,2,1,1,"17,100;18,100",3
0,"3,100",10303,3,3,1,1,"17,100;18,100",3
0,"3,100",10304,4,4,1,1,"17,100;18,100",3
0,"3,100",10305,5,5,1,1,"17,100;18,100",3
0,"3,100",10306,5,6,1,1,"17,100;18,100",3
0,"3,100",10307,5,7,1,1,"17,100;18,100",3
0,"3,100",10308,5,8,1,1,"17,100;18,100",3
0,"3,100",10309,5,9,1,1,"17,100;18,100",3
0,"1,100",20101,26,1,1,2,"17,100;18,100",1
0,"1,100",20102,6,2,1,2,"17,100;18,100",1
0,"1,100",20103,7,3,1,2,"17,100;18,100",1
0,"1,100",20104,8,4,1,2,"17,100;18,100",1
0,"1,100",20105,9,5,1,2,"17,100;18,100",1
0,"1,100",20106,10,6,1,2,"17,100;18,100",1
0,"1,100",20107,10,7,1,2,"17,100;18,100",1
0,"1,100",20108,10,8,1,2,"17,100;18,100",1
0,"1,100",20109,10,9,1,2,"17,100;18,100",1
0,"2,100",20204,8,4,1,2,"17,100;18,100",2
0,"2,100",20205,9,5,1,2,"17,100;18,100",2
0,"2,100",20206,10,6,1,2,"17,100;18,100",2
0,"2,100",20207,10,7,1,2,"17,100;18,100",2
0,"2,100",20208,10,8,1,2,"17,100;18,100",2
0,"2,100",20209,10,9,1,2,"17,100;18,100",2
0,"3,100",20301,26,1,1,2,"17,100;18,100",3
0,"3,100",20302,6,2,1,2,"17,100;18,100",3
0,"3,100",20303,7,3,1,2,"17,100;18,100",3
0,"3,100",20304,8,4,1,2,"17,100;18,100",3
0,"3,100",20305,9,5,1,2,"17,100;18,100",3
0,"3,100",20306,10,6,1,2,"17,100;18,100",3
0,"3,100",20307,10,7,1,2,"17,100;18,100",3
0,"3,100",20308,10,8,1,2,"17,100;18,100",3
0,"3,100",20309,10,9,1,2,"17,100;18,100",3
0,"1,100",10100,24,0,1,1,"17,100;18,100",1
0,"2,100",10200,24,0,1,1,"17,100;18,100",2
0,"3,100",10300,24,0,1,1,"17,100;18,100",3
0,"1,100",20100,25,0,1,2,"17,100;18,100",1
0,"2,100",20200,25,0,1,2,"17,100;18,100",2
0,"3,100",20300,25,0,1,2,"17,100;18,100",3
0,"2,100",10201,,1,1,1,"38,100;41,100;47,100",2
0,"2,200",10202,,2,1,1,"39,100;42,100;48,100",2
0,"2,300",10203,,3,1,1,"40,100;43,100;49,100",2
10,,20201,,1,0,2,"52,100",2
20,,20202,,2,0,2,"53,100",2
30,,20203,,3,0,2,"54,100",2
