配方 ID,备注,道具奖励,Ditamin奖励,Exp奖励
id,null,rewardList,ditamin,exp
int,null,int[][],int,int
1000001,任务奖励,"61000020,10000,1",100,100
1000002,任务奖励,"61000020,10000,1",100,100
1000003,任务奖励,"61000020,10000,1",100,100
1000004,任务奖励,"61000020,10000,1",100,100
1000005,任务奖励,"61000020,10000,1",100,100
1001001,任务链奖励,"61000020,5000,1;61000021,3000,1;61000022,500,1",0,1000
1001002,任务链奖励,"61000020,5000,1;61000021,3000,1;61000022,500,1",0,1000
1001003,任务链奖励,"61000020,5000,1;61000021,3000,1;61000022,500,1",0,1000
1001004,任务链奖励,"61000020,5000,1;61000021,3000,1;61000022,500,1",0,1000
1001005,任务链奖励,"61000020,5000,1;61000021,3000,1;61000022,500,1",0,1000
