地图模板ID,地图模板名,关联副本ID,备注：副本名及关卡,关卡积分
id,mapTemplateName,dungeonId,,score
string,string,int,,int
88735510427602896,八方动物园（1）正式,10001,八方动物园第一关,200
97647950993294402,八方动物园（2）正式,10001,八方动物园第二关,200
107014442499236657,八方动物园（3）正式,10001,八方动物园第三关,200
107167933976863537,八方动物园（4）正式,10001,八方动物园第四关,200
108003809137030716,八方动物园（5）正式,10001,八方动物园第五关,200
108328392566261754,八方动物园（6）正式,10001,八方动物园第六关,200
94092545809734589,数学思维课L1G1,10001,数学思维课L1G1,10
94160266538802109,数学思维课L1G2,10001,数学思维课L1G2,10
94841439107740171,数学思维课L1G3,10001,数学思维课L1G3,10
94843445511778827,数学思维课L1G4,10001,数学思维课L1G4,10
94848908324303371,数学思维课L1G5,10001,数学思维课L1G5,10
94853833259282955,数学思维课L1G6,10001,数学思维课L1G6,10
94983973704364555,数学思维课L1G7,10001,数学思维课L1G7,10
94877361744441867,数学思维课L1G8,10001,数学思维课L1G8,10
94877435480306187,数学思维课L1G9,10001,数学思维课L1G9,10
95437313273803682,数学思维课L2G1,10001,数学思维课L2G1,25
95317384902014143,数学思维课L2G2,10001,数学思维课L2G2,25
95270743033573899,数学思维课L2G3,10001,数学思维课L2G3,30
95893914703147938,数学思维课L3G1,10001,数学思维课L3G1,25
95893921934128034,数学思维课L3G2,10001,数学思维课L3G2,25
96868445752136719,数学思维课L3G3,10001,数学思维课L3G3,30
97033292754195471,数学思维课L4G1,10001,数学思维课L4G1,10
97033318926652431,数学思维课L4G2,10001,数学思维课L4G2,10
97033340233716751,数学思维课L4G3,10001,数学思维课L4G3,10
97033395514643471 ,数学思维课L4G4,10001,数学思维课L4G4,30
97034010231837711,数学思维课L4G5,10001,数学思维课L4G5,30
98031176446394052,数学思维课L5G1,10001,数学思维课L5G1,15
98031201377337028,数学思维课L5G2,10001,数学思维课L5G2,15
98201011415432900,数学思维课L5G3,10001,数学思维课L5G3,15
98201199538355908,数学思维课L5G4,10001,数学思维课L5G4,15
98201411937910468,数学思维课L5G5,10001,数学思维课L5G5,15
98201526543072964,数学思维课L5G6,10001,数学思维课L5G6,15
99304069344026723,数学思维课L6G1,10001,数学思维课L6G1,30
99646081867998888,数学思维课L6G2,10001,数学思维课L6G2,15
99648475439851176,数学思维课L6G3,10001,数学思维课L6G3,15
99649348945602216,数学思维课L6G4,10001,数学思维课L6G4,15
99664566836815528,数学思维课L6G5,10001,数学思维课L6G5,15
100249925765326504,数学思维课L7G1,10001,数学思维课L7G1,15
100515326071988144,数学思维课L7G2,10001,数学思维课L7G2,15
100515454082146224,数学思维课L7G3,10001,数学思维课L7G3,15
100518938072375216,数学思维课L7G4,10001,数学思维课L7G4,30
100519214208573360,数学思维课L7G5,10001,数学思维课L7G5,15
101259288697120930,数学思维课L8G1,10001,数学思维课L8G1,15
101259297119283362,数学思维课L8G2,10001,数学思维课L8G2,15
101259306548078754,数学思维课L8G3,10001,数学思维课L8G3,15
101374836554606754,数学思维课L8G4,10001,数学思维课L8G4,30
101514267752154892,数学思维课L8G5,10001,数学思维课L8G5,15
