id,根目录名,子目录名,图片1,描述文本1,图片2,描述文本2,图片3,描述文本3
id,rootDirectory,subdirectory,picture1,text1,picture2,text2,picture3,text3
int,string,string,string,string,string,string,string,string
1,前言,,,,,,xinshouhelp_01,"  大家好，我们是这款游戏的开发者，很高兴能认识各位玩家，更开心的是竟然有同学能点到新手手册中来^_^，我们贝尔游戏 工作室是一家人数很少的独立游戏工作室，在国产游戏氪金的环境下，我们带着想做出一个寓教于乐游戏的梦想，聚在了一起，大家玩到的这款游戏就是我们这群人的第一份作品；
  “编程”也许对于大多数人来说会觉得“好难啊”“没学过编程”，那我们想做的其实是让编程真正的变得简单，并且能够让大家在图形编程的过程中体验到编程游戏的乐趣和玩法，因此我们构建了这样一个大世界。
  我们知道我们还有许多不足，游戏还有各种各样的bug，离我们最终想要构建的世界还有很远的距离，但只要有各位玩家的支持，相信我们会一步步变好，最后谢谢大家玩我们游戏，如果觉得我们游戏还不错，可以将我们游戏介绍给身边的朋友哦。"
2,新手须知,如何领地占领,,,,,,"1.“家园基石”每个玩家出生后，背包中都会有一个
2.您可选择合适的地方使用“家园基石”，使用成功后，将可以占领这块区域，然后就可以在这块土地上开始建造了
3.周围有其他玩家领地时，无法占领；
部分地块、资源点附近也不能占领；
4.领地占领后，可通过制造“搬家基石”来进行领地的迁移
"
3,新手须知,游戏小诀窍,,,,,,
4,新手须知,如何搬家,,"有时候，在一个地方待久了，会有些不畅，所以我们给大家提供了搬家功能：
1.“搬家旗帜”可自行制作出来，制作出来后使用，皆可触发搬家
2.将人物移动到想要搬家的地方，点击确认，若条件满足，搬家即会成功
3.搬家之前，原有的领地上不能有任何的建筑哦",,,,
5,新手须知,如何制作装备,,"1.我们的角色可以穿戴各种装备，那装备是怎么样制作出来的呢
2.装备的制作一般是在工作台中制造的，比如兽皮套装在石制工作台中制造
3.机器人也会有装备，在“机械工作坊”中进行制造",,,,
6,新手须知,如何生存,,"1.生存还是毁灭，是一个永恒的话题，在我们世界中也一样
2.当您饥渴了您需要喝水，可通过雨水收集器将水囊灌满后使用，当然很多果子和料理也会恢复饥渴度
3.当你饿了您需要食物，随处可以采集的果子、还有将肉烤熟都是新手阶段填报肚子的好东西",,,,
7,新手须知,如何升级,,在游戏中，制作物品、打怪、都能获得经验，有了经验当然就可以升级了….,,,,
8,新手须知,如何做任务,,"1.在各个传送点附近，都会有一名叫“法尔”的NPC，他会派发给您探索任务，这是一种极为有挑战的任务，请您做好万全准备在出发
2.当然你也可以在野外接取到一些其他的任务，并去完成它！",,,,
9,新手须知,如何探索,,"1.地图中存在很多的探索点，都需要尊敬的玩家您自己去发现
2.比如我们会有坠落飞船探索点，里面会产出各种孵化宠物的配方",,,,
10,机器人编程,如何快速上手写代码,xinshouhelp_01,当您觉得写代码有些难的时候，我们提供了代码么模板给予您，可在代码界面上方看到“代码模板”，在模板中，您只需要改改参数即可,,,,
11,机器人编程,机器人燃料不够怎么办？,,"1.部分代码的运行将会消耗燃料值，那燃料没了后怎么获得呢？
2.采集地图中随处可见的“源码晶体矿”，可获得“源码晶石”，可用它给机器人充燃料
3.您也可以把“源码晶石”合成为“源码晶体”这样能够获得更多的能量",,,,
12,机器人编程,编程小诀窍(必看),,"1.有时候代码执行的逻辑和自己想的不一样，请仔细检查代码，有可能是您没有按照语法来写代码
2.代码会操控机器人的AI，但不会影响世界本身的逻辑，如：无限循环使用血瓶，但血瓶本身是有2秒CD的，所以血瓶依旧是2秒使用一次，而不会快速的全部使用完
3.无限循环代码块的循环速度是极快的
4.变量是指：变数或变量，是指没有固定的值，可以改变的数；",,,,
