ID,受击物件类型,对应ID,对应名称,触发范围,发现气泡,气泡0,气泡1,气泡2,气泡3,气泡4,概率,怪物残血气泡,怪物死亡气泡,玩家残血气泡,怪物嘲讽气泡,进阶等级,气泡上限,气泡冷却,受击表情资源,受击表情播放时间（毫秒）
id,hitedType,linkId,linkname,triggeredRange,foundBubble,bubble0,bubble1,bubble2,bubble3,bubble4,probability,monsterNoblood,monsterDiebubble,playerNoblood,monsterTaunt,uplevel,bubbleUpper,bubbleCD,expressionRes,expressionTime
int,string,int,string,int,string[],string[],string[],string[],string[],string[],int,string[],string[],string[],string[],int[][],int,int,string,int
100001,Monster,1000001,平原野猪,0,"冲啊，干掉坏蛋。,兄弟们，看我发现了什么？","离开我的地盘，不然打爆你。,肮脏的人类，离开我的地盘！,我生气了。","兄弟们，这些人看来想要破坏我们美好的家园！,可恶的人类，凭什么我才是猪呢？你才是猪才对。不，你不配是猪。","你打不过我的，认命吧。把你打败，让你服侍本猪大爷。,一点都不痛。","美丽的森林和草原不是你们可以破坏的，虽然我是只猪，但是我会保护它们。,觉悟吧，人类。","在我的地盘就要听我的，被我打，被我打，哼哼哈hi,人不近我，我不拱人。人若近我，拱得你屁股开花。",70,"这个人类好强大。,不，我不要死。","下次一定要投个好胎。,我，我还会回来的。,啊，我看见了上帝。",我不要死，快跑啊，吃浆果回血呀！！！,连一只野猪都打不过，真是不堪一击的人啊。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100002,Monster,1000015,湖鸭,0,我警告你，我可是会反击的。,嘎嘎嘎,你死定了。,我才不是普通的鸭子呢，我可是湖鸭，别想随便打败我。,我不爱打麻将，我现在爱打人。,人不犯我，我不犯人。,100,我不会跑的。,"你等着，我下辈子投胎成一只狼打爆你。,我的鸭生就到此为止了吗。",我竟然没打过一只鸭子？,我说过的，你死定了。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5500,img_status_flee,3000
100003,Monster,1000013,咕咕鸡,0,"我只是一只普通的鸡而已。请不要伤害我。,我不好吃，别打我。",咕咕咕,为什么创造世界的人不给我反击的能力。,你再打，你再打我就要打你了。,别这样，放过我吧。,落后就要挨打。,90,就这样结束了吗？,这辈子我是一只没法攻击的鸡，下辈子你就要小心了。我会成为一只战斗鸡。,,,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,img_status_flee,3000
100004,Monster,1000003,源码机器人,0,一定就是你让我的主人消失了，我要打死你。,说吧，你把我的主人藏在哪里去了，说了我就不为难你了。,"打我的就是坏人，让主人消失的也是坏人，你就是坏人。,别想得逞，你这个坏蛋。",去死吧，坏蛋。,那一天，主人在我眼前消失了。,虽然主人没有很认真的为我编写程序，但是我仍然很喜欢，所以我不允许你伤害我。,85,"不，我不想报废，我还要等我的主人。,主人，也许这样我们就能见面了吧。",主人，我又看见你了呢。,不行，打不过，风紧，扯呼！溜溜溜。,主人，我来为你报仇。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100005,Monster,1000004,源码侦察机,0,哈，朋友你好啊。来玩多子弹的游戏吧。,受到攻击，受到攻击。,展开游走模式，灵活躲避伤害。,你竟然可以打到我，很不错嘛。不过，接下来可就没那么好运气了。,"闪避失败，重置闪避。,打不到我，达不到我，气死我了，哼！",准备启动传输，坐标点（152，1456）传输打断。,100,我快乐的一生就要快要走向总结了吗？让我们展开最后的狂欢吧！,就要死了啊，不过感觉还不错，没有违背自己的意愿快乐的活着真不错。,看来惹错了人。,叫你打我，自讨苦吃吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100006,Monster,1000010,源码机械犬,0,嗷呜，咬死你们这些坏蛋。,"你打不动我的，笨蛋。,我是主人最忠诚的朋友。",主人，你去哪里了？有人打我了，你快出来帮我吧。别和我玩捉迷藏啦。,我找不到我的主人了，其他的人也不见了，但是你却还在，肯定就是你搞得鬼，你们这些坏蛋。,打，打，打，打死你这个坏蛋。,我生气了，你还我主人。,85,主人，我会为你奋战到底的。,主人， 对不起，我没能帮你打败这个坏蛋。,识时务者为俊杰，该跑就跑，别浪。,主人，你看，我帮你把坏人打爆了，你快出来吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100007,Monster,1000009,源码伐木机,0,你打扰到我砍树了，朋友，所以我决定先砍你。,根本一点都不痛。,你的力气太小了吧。,"你是在给我挠痒痒吗？,让我感受到对手的感觉呀。",就凭你，还不行。,别逗我笑了，你是在打人吗？让我教你什么叫做攻击。,80,看来你还不错嘛，是我期盼的一场战斗啊。,死而无憾了。,太变态了吧。,这就结束了吗？,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100008,Monster,1000008,源码采矿机,0,哦，看看这是谁？这不是我们的主人们吗？,"诶呀，主人你的攻击真的好痛啊。,真是无聊呢，这么快就要和主人撕破脸皮。","说真的，我忍你们很久了，天天让我挖矿。挖矿。,去死吧，小菜鸟。",你以为你能比我强？就算我们是你们创造的，但是我也可以打败你。,承受我的怒火吧，你们这些虚拟人。,"大家都是一样的，凭什么只有我工作。,哪些傻石头人没有找你的麻烦吗?真是什么事都办不好的蠢货。",100,不可能，我不会输的，你给我去死吧。,我一定不会就这样死掉，我还会回来的。一定…。,这个家伙又坏又强，先跑微妙，留得青山在不怕没柴烧。,就是这样，痛苦的死去吧。小虚拟人。哈哈哈哈哈！,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
