物件ID,物件名称,"类型
专门用于前置物件判定
还有代码块类型筛选判断","子类型
专门用于自动建造判定",建筑背包分类,Entity的Icon,Entity的描述,纹理1,补充纹理,物件逻辑投影,"前置物件
0，可以放置在任意类型的前置物件上",物件是否可自动建造,物件上是否可建造,建造高度,行走矮边高,行走高边高,物件高边 ,通行方向,血量,死亡掉落配方ID,"技能作用类型
 0.未知类型
 1.玩家
 2.木头
 3.草
 4.石头
 5.建筑
 6.机器人
 7.怪物

",受击特效,受击音效,物件防御,掉落经验,物件等级,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,玩家经过是否半透,身体大小(半径像素),不显示在代码块下拉中,代码界面中物品排序ID,属性控件,idle效果,死亡效果,代码库ID,是否是地块
id,name,type,subType,objectBagType,icon,desc,texture,supplyTexture,area,preArticleType,buildAuto,buildAble,buildHigh,walkLow,walkHigh,highEdge,walkDir,hpLimit,fallingRecipeId,toolType,hitEffect,hitMusic,objectDef,dropExp,null,terrainType,SlowMotion,sceneEffectAnchor,lightRadius,isCover,bodyCapacity,NoShowCode,sort,attWidget,idleEffect,deathEffect,codeBlockId,isTerrain
int,string,int,int,int,string,string,string[],string,int[][],int[],int,int,int,int,int,int,int[][],int,int,int,string,string,int,int,null,int,int,int,int,bool,int,bool,int,int,int,int,int,bool
2010002,#N/A,10,,1,ic_floor5_XueHaiS,没经历过风雪的洗礼，可得不到雪海松做成的地板。,icob_floor_1001102,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,woodHited,,0,,7,,,0,0,,,,1001,,,1002,
2010003,#N/A,10,,1,ic_floor3_YuanMu,原木地板，最基础的地板。很容易就能让你造个大房子。,icob_floor_1001103,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,woodHited,,0,,7,,,0,0,,,,10001,,,1002,
2010004,#N/A,10,,1,ic_floor4_XiangMu,用黑橡木做成的地板。,icob_floor_1001104,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,woodHited,,0,,7,,,0,0,,,,10001,,,1002,
2010005,#N/A,10,,1,ic_floor6_YunShan,青云杉合成的青云杉地板。,icob_floor_1001105,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,woodHited,,0,,7,,,0,0,,,,10001,,,1002,
2010006,#N/A,10,,1,ic_floor1_BaiHua,白桦木地板，你值得拥有。,icob_floor_1001106,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,woodHited,,0,,7,,,0,0,,,,10001,,,1002,
2010007,#N/A,10,,1,ic_floor2_FengMu,枫木的，地板！,icob_floor_1001107,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,woodHited,,0,,7,,,0,0,,,,10001,,,1002,
2010008,#N/A,10,,1,ic_floor7_ShiTou,普通石头做成的地板。,icob_floor_1001108,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,ironHited,,0,,3,,,0,0,,,,10001,,,1002,
2010009,#N/A,10,,1,ic_floor9_DaLi,大理岩地板，坚固耐用。,icob_floor_1001109,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,ironHited,,0,,3,,,0,0,,,,10001,,,1002,
