物件ID,数据文件名,描述
Cid,fileName,desc
int,string,null
40000002,40000002_11,合成机
40000003,40000003_11,拆解机
40000004,40000004_11,合流机
40000005,40000005_11,分流机
40000006,40000006_11,计数机
40000007,40000007_11,过滤机
40000008,40000008_11,起点
40000009,40000009_5,终点
40000010,40000010_11,中控
20090001,shicai_3,番茄
20090002,shicai_3,腐烂番茄
20090003,shicai_3,胡萝卜
20090004,shicai_3,萝卜叶
20090005,shicai_3,整棵包菜
20090006,shicai_3,包菜叶
20090007,shicai_3,土豆
20090008,shicai_3,削皮土豆
20090009,shicai_3,发芽土豆
20090010,shicai_3,切碎土豆
20090011,shicai_3,青菜
20090012,shicai_3,青菜叶
20090013,shicai_3,花椰菜
20090014,shicai_3,新鲜的鱼
20090015,shicai_3,不新鲜的鱼
20090016,shicai_3,鱼头
20090017,shicai_3,鱼身
20090018,shicai_3,鸡蛋壳
20090019,shicai_3,完整鸡蛋
20090020,shicai_3,坏鸡蛋
20090021,shicai_3,荷包蛋
20090022,shicai_3,豆腐
20090023,shicai_3,猪肉
20090024,shicai_3,不新鲜猪肉
20090025,shicai_3,苹果
20090026,shicai_3,葡萄
20090027,shicai_3,西瓜
20090028,shicai_3,香蕉
20090029,shicai_3,酸奶
20090030,shicai_3,鲜牛奶
20090031,shicai_3,面条
20090032,shicai_3,青椒炒肉丝
20090033,shicai_3,青椒肉丝饭
20090034,shicai_3,青椒肉丝面
20090035,shicai_3,土豆烧肉
20090036,shicai_3,土豆烧肉盖饭
20090037,shicai_3,土豆烧肉面
20090038,shicai_3,番茄炒蛋
20090039,shicai_3,番茄炒蛋盖饭
20090040,shicai_3,番茄炒蛋面
20090041,shicai_3,青椒炒蛋
20090042,shicai_3,青椒炒蛋盖饭
20090043,shicai_3,青椒炒蛋面
20090044,shicai_3,番茄鱼片
20090045,shicai_3,番茄鱼片盖饭
20090046,shicai_3,番茄鱼片面
20090047,shicai_3,胡萝卜炒肉片
20090048,shicai_3,胡萝卜炒肉饭
20090049,shicai_3,胡萝卜炒肉面
20090050,shicai_3,包菜回锅肉
20090051,shicai_3,包菜回锅肉饭
20090052,shicai_3,包菜回锅肉面
20090053,shicai_3,番茄丸子
20090054,shicai_3,番茄丸子饭
20090055,shicai_3,番茄丸子面
20090056,shicai_3,青菜豆腐汤
20090057,shicai_3,不可名状的食材
20090058,shicai_3,一碗饭
