id,名字,类型,资源名,格式,时长(毫秒）,描述
id,name,type,sourceName,format,time,desc
int,string,int,string,string,int,string
1,name1,1,1000,wav,1000,
2,name2,1,1001,wav,1000,
3,name3,1,1002,wav,1000,
4,name4,1,1003,wav,1000,
5,name5,1,1004,wav,4000,
6,name6,1,1005,wav,2000,
7,name7,1,1006,wav,2000,
8,name8,1,1007,wav,3000,
9,name9,1,1008,wav,2000,
10,name10,1,1009,wav,1000,
11,name11,1,1010,wav,3000,
12,name12,1,1011,wav,1000,
13,name13,1,1012,wav,3000,
14,name14,1,1013,wav,2000,
15,name15,1,1014,wav,3000,
16,name16,1,1015,wav,2000,
17,name17,1,1016,wav,2000,
18,name18,1,1017,wav,6000,
19,name19,1,1018,wav,4000,
20,name20,1,1019,wav,5000,
21,name21,1,1020,wav,1000,
22,name22,1,1021,wav,3000,
23,name23,2,1022,wav,15000,
24,name24,1,1023,wav,1000,
25,name25,2,1024,wav,17000,
26,name26,1,1025,wav,2000,
27,name27,1,1026,wav,3000,
28,name28,1,1027,wav,6000,
29,name29,1,1028,wav,1000,
30,name30,1,1029,wav,2000,
31,name31,1,1030,wav,1000,
32,name32,1,1031,wav,3000,
33,name33,1,1032,wav,1000,
34,name34,1,1033,wav,1000,
35,name35,1,1034,wav,1000,
36,name36,1,1035,wav,3000,
37,name37,1,1036,wav,3000,
38,name38,1,1037,wav,2000,
39,name39,1,1038,wav,1000,
40,name40,1,1039,wav,1000,
41,name41,1,1040,wav,1000,
42,name42,1,1041,wav,1000,
43,name43,1,1042,wav,1000,
44,name44,1,1043,wav,1000,
45,name45,1,1044,wav,3000,
46,name46,1,1045,wav,3000,
47,name47,1,1046,wav,4000,
48,name48,1,1047,wav,8000,
49,name49,1,1048,wav,4000,
50,name50,1,1049,wav,8000,
51,name51,1,1050,wav,1000,
52,name52,1,1051,wav,2000,
53,name53,1,1052,wav,1000,
54,name54,1,1053,wav,3000,
55,name55,2,1054,wav,16000,
56,name56,1,1055,wav,5000,
57,name57,1,1056,wav,2000,
58,name58,1,1057,wav,3000,
59,name59,1,1058,wav,5000,
60,name60,1,1059,wav,2000,
61,name61,1,1060,wav,10000,
62,name62,1,1061,wav,1000,
63,name63,1,1062,wav,1000,
64,name64,1,1063,wav,1000,
65,name65,1,1064,wav,1000,
66,name66,1,1065,wav,2000,
67,name67,1,1066,wav,1000,
68,name68,1,1067,wav,2000,
69,name69,1,1068,wav,1000,
70,name70,1,1069,wav,2000,
71,name71,1,1070,wav,3000,
72,name72,1,1071,wav,3000,
73,name73,2,1072,wav,11000,
74,name74,2,1073,wav,11000,
75,name75,1,1074,wav,1000,
76,name76,1,1075,wav,3000,
77,name77,1,1076,wav,2000,
78,name78,1,1077,wav,4000,
79,name79,1,1078,wav,1000,
80,name80,1,1079,wav,5000,
81,name81,1,1080,wav,6000,
82,name82,1,1081,wav,6000,
83,name83,1,1082,wav,1000,
84,name84,1,1083,wav,3000,
85,name85,1,1084,wav,1000,
86,name86,1,1085,wav,1000,
87,name87,1,1086,wav,1000,
88,name88,1,1087,wav,1000,
89,name89,1,1088,wav,2000,
90,name90,1,1089,wav,3000,
91,name91,1,1090,wav,4000,
92,name92,2,1091,wav,11000,
93,name93,1,1092,wav,8000,
94,name94,1,1093,wav,2000,
95,name95,2,1094,wav,11000,
96,name96,1,1095,wav,6000,
97,name97,1,1096,wav,1000,
98,name98,1,1097,wav,1000,
99,name99,1,1098,wav,3000,
100,name100,1,1099,wav,2000,
101,name101,1,1100,wav,1000,
102,name102,1,1101,wav,3000,
103,name103,1,1102,wav,3000,
104,name104,1,1103,wav,1000,
105,name105,1,1104,wav,8000,
106,name106,1,1105,wav,3000,
107,name107,1,1106,wav,1000,
108,name108,1,1107,wav,3000,
109,name109,1,1108,wav,1000,
110,name110,1,1109,wav,6000,
111,name111,1,1110,wav,2000,
112,name112,1,1111,wav,3000,
113,name113,1,1112,wav,1000,
114,name114,1,1113,wav,5000,
115,name115,1,1114,wav,6000,
116,name116,1,1115,wav,3000,
117,name117,1,1116,wav,2000,
118,name118,1,1117,wav,1000,
119,name119,1,1118,wav,1000,
120,name120,1,1119,wav,5000,
121,name121,1,1120,wav,1000,
122,name122,1,1121,wav,3000,
123,name123,1,1122,wav,1000,
124,name124,1,1123,wav,2000,
125,name125,1,1124,wav,1000,
126,name126,1,1125,wav,3000,
127,name127,1,1126,wav,1000,
128,name128,1,1127,wav,1000,
129,name129,1,1128,wav,1000,
130,name130,1,1129,wav,2000,
131,name131,1,1130,wav,1000,
132,name132,1,1131,wav,3000,
133,name133,1,1132,wav,1000,
134,name134,1,1133,wav,3000,
135,name135,1,1134,wav,1000,
136,name136,1,1135,wav,1000,
137,name137,1,1136,wav,1000,
138,name138,1,1137,wav,1000,
139,name139,1,1138,wav,1000,
140,name140,1,1139,wav,1000,
141,name141,1,1140,wav,1000,
142,name142,1,1141,wav,4000,
143,name143,1,1142,wav,1000,
144,name144,1,1143,wav,1000,
145,name145,1,1144,wav,1000,
