互斥ID,物件ID,互斥类型不建造,互斥Cid列表,互斥类型删除,互斥Cid列表,互斥类型移动,互斥Cid列表
id,cid,exTypeNotBuild,exNotBuildCids,exTypeDel,exDelCids,exTypeMove,exMoveCids
int,int,int,string,int,string,int,string
1,40000001,1,"0,0,-40000001",2,,3,
2,40000002,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
3,40000003,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
4,40000004,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
5,40000005,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
6,40000006,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
7,40000007,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
8,40000008,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
9,40000009,1,"5,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009",2,"5,40000001",3,"5,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009"
