传送点ID,复活点名字,地图1,X(像素),Y(像素),是否为初始复活点,备注
id,name,mapId,x,y,InitializationResurrection,null
int,string,int,int,int,int,null
10001010,大地汉堡城,1000,93468,13312,1,大地汉堡城
10001011,微风电脑城,1000,154648,20064,2,微风电脑城
10001012,滨海城,1000,166240,59760,2,滨海城
10001013,黑山城,1000,155200,101760,2,黑山城
10001014,天空之城,1000,89984,109504,2,天空之城
10001015,雷霆城,1000,25600,99200,2,雷霆城
10001016,火锅城,1000,14592,60736,2,火锅城
10001017,千湖城,1000,24512,19136,2,千湖城
10001018,源城,1000,89024,58592,2,源城
10001019,北方城,1000,89992,31448,2,北方城
10001020,东方城,1000,144576,58864,2,东方城
10001021,南方城,1000,88704,88640,2,南方城
10001022,西方城,1000,35232,59696,2,西方城
10001023,S城,1000,62000,45648,2,S城
10001024,T城,1000,118592,46208,2,T城
10001025,E城,1000,138280,86736,2,E城
10001026,A城,1000,89040,97408,2,A城
10001027,M城,1000,44096,86256,2,M城
10001028,小湖城邦,1000,61072,25856,2,小湖城邦
10001029,小风城邦,1000,119280,27456,2,小风城邦
10001030,小火城邦,1000,61776,74504,2,小火城邦
10001031,小水城邦,1000,119696,74320,2,小水城邦
10001032,雷雷城邦,1000,59024,102288,2,雷雷城邦
10001033,山山城邦,1000,121728,101504,2,山山城邦
