id,触发等级,触发文本
id,triggerlv,text1
int,int,string
1,1,沿着道路走的话，会探索到很多不同的场景哦！
2,2,找不到造家位置的话，多走走总有合适的地方
3,3,系统会送您一个家园传送门，可快速回家
4,4,打不过就要跑，这很重要
5,5,斧头适合砍伐树木、镐头适合挖取矿物
6,6,时间久了肚子会饿，不要忘记吃东西，地图上可以采集到不少吃的，也可以自己合成
7,7,地图很大，多走走总会有惊喜
8,8,点击右上角的大地图，可快速传回自家领地
9,9,使用代码模板，一键即可写代码！不懂代码也无妨
10,10,探索地图的过程中可以解锁新的传送点哦！
11,11,召唤的机器人可以进行编程，能够帮你做任何事情
12,12,寓教于乐，在玩中学习简单的知识，这样才能好好学习天天向上^_^
13,13,使用代码模板，一键即可写代码！不懂代码也无妨
14,14,使用代码模板，一键即可写代码！不懂代码也无妨
15,15,使用代码模板，一键即可写代码！不懂代码也无妨
16,16,使用代码模板，一键即可写代码！不懂代码也无妨
17,17,使用代码模板，一键即可写代码！不懂代码也无妨
18,18,使用代码模板，一键即可写代码！不懂代码也无妨
19,19,使用代码模板，一键即可写代码！不懂代码也无妨
20,20,使用代码模板，一键即可写代码！不懂代码也无妨
21,21,和现实一样，高效的代码逻辑，会极大提升效率哦！
