ID,名字,视角,主地块,副地块,补充地块1,补充地块2,补充地块3,虚空格数,地块1的物件,地块2的物件,地块3的物件,地块4的物件,地块5的物件
id,name,type,terrain_1,terrain_2,terrain_3,terrain_4,terrain_5,broad_width,ids_1,ids_2,ids_3,ids_4,ids_5
int,string,int,int,int,int,int,int,int,int[][],int[][],int[][],int[][],int[][]
10001,草原,1,10005004,10005001,10005017,10005019,8000025,0,"20025009,10;30001004,20;20024024,20","30001007,30;30001001,30;30001005,30;30001004,10;","10000257,30;10000258,30;","30001026,70;","10000256,30;10000257,10;10000258,20;10000259,5;"
10002,荒原,1,10005009,10005006,10005007,10005007,10005008,0,"30001037,10;30001002,30;30001010,30","30001039,10;30001002,30;30001010,30","30001037,10;30001002,30;30001010,30","30001036,20;30001037,10;30001035,10;","30001036,20;30001037,10;30001035,10;"
10003,秋季草原,1,10005026,10005027,10005030,10005031,10005032,0,"20025001,10;0,90;20023004,30","20025001,20;0,90;20023004,30","20025001,5;0,90;20023004,30","20023004,30","20023004,30"
10004,繁星草地,1,10005091,10005086,10005093,10005088,10005089,0,"20024030,10;30001030,5;30001032,15;10000278,20;","20024030,30;30001030,10;30001032,10;10000278,20;30001003,5","20024030,30;10000278,20;30001003,10","20024030,30;10000278,20;","20024030,30;10000278,20;"
10005,草原,2,8000022,8000022,,,,0,"0,0","0,0",,,
10006,石地,2,10005005,10005006,,,,0,"0,0","0,0",,,
10007,沙地,2,10005010,10005010,,,,0,"0,0","0,0",,,
10008,大世界,2,8000024,8000023,10005005,10005007,10005013,0,"30002001,10;30002024,20;30002027,10,30002032,10;0,30","30002002,20;30002024,5;30002027,20;30002032,10;0,40","30002067,80;0,10","30002026,80;0,10","30002003,80;0,10"
